Berat_Cabai,Kadar_Air,Label,File_Cabai
3.03,31.68,Segar,2
2.42,36.78,Segar,1
2.19,30.14,Segar,2
2.06,26.7,Segar,2
2.81,42.7,Segar,1
2.11,28.91,Segar,2
2.52,42.86,Segar,1
2.66,43.61,Segar,1
2.24,31.7,Segar,2
2.28,48.25,Segar,1
4.4,37.73,Segar,1
2.89,41.18,Segar,1
4.65,33.76,Segar,1
3.99,22.81,Segar,2
2.81,42.7,Segar,1
4.22,35.07,Segar,1
2.43,37.45,Segar,1
2.31,26.41,Segar,2
1.63,32.52,Segar,2
2.24,31.7,Segar,2
2.43,38.27,Segar,1
2.18,49.54,Segar,1
4.6,40.43,Segar,1
2.96,28.04,Segar,1
4.22,35.07,Segar,1
3.16,46.2,Segar,1
2.21,33.48,Segar,1
2.43,33.33,Segar,1
3.07,30.62,Segar,1
4.22,35.07,Segar,1
2.6,41.15,Segar,1
2.55,42.35,Segar,1
1.85,40.54,Segar,2
1.89,22.22,Segar,2
2.77,23.1,Segar,2
2.58,17.44,Segar,2
1.98,25.76,Segar,2
2.66,42.86,Segar,1
2.44,39.75,Segar,1
3.23,28.17,Segar,2
2.52,42.86,Segar,1
1.98,25.76,Segar,2
1.99,24.12,Segar,2
3.5,21.71,Segar,2
1.63,32.52,Segar,2
4.25,27.53,Segar,1
1.81,34.81,Segar,2
2.46,26.42,Segar,2
2.42,54.55,Segar,1
2.18,49.54,Segar,1
2.11,28.91,Segar,2
4.12,25.24,Segar,2
2.08,22.6,Segar,2
1.92,26.56,Segar,2
2.49,25.3,Segar,2
3.51,32.48,Segar,1
2.44,39.75,Segar,1
3.0,21.0,Segar,2
0.9,44.44,Segar,2
1.09,37.61,Segar,2
2.19,34.25,Segar,1
3.5,21.71,Segar,2
1.63,32.52,Segar,2
2.71,29.89,Segar,2
2.81,42.7,Segar,1
2.11,28.91,Segar,2
2.94,35.37,Segar,1
2.55,42.35,Segar,1
2.65,38.87,Segar,1
2.19,30.14,Segar,2
3.4,39.12,Segar,1
2.54,33.07,Segar,2
2.48,40.73,Segar,1
2.66,43.61,Segar,1
1.55,56.13,Segar,1
3.21,26.17,Segar,2
1.98,25.76,Segar,2
2.22,32.43,Segar,2
1.74,36.78,Segar,2
3.23,28.17,Segar,2
4.12,25.24,Segar,2
1.63,32.52,Segar,2
2.44,39.75,Segar,1
0.98,48.98,Segar,2
2.19,34.25,Segar,1
2.42,54.55,Segar,1
4.4,37.73,Segar,1
3.03,31.68,Segar,2
1.74,36.78,Segar,2
2.22,32.43,Segar,2
3.23,28.17,Segar,2
2.48,31.45,Segar,1
2.46,26.42,Segar,2
3.28,35.06,Segar,1
2.58,17.44,Segar,2
3.37,31.16,Segar,2
2.19,34.25,Segar,1
3.5,21.71,Segar,2
2.24,31.7,Segar,2
1.98,25.76,Segar,2
2.39,35.15,Segar,2
2.17,25.81,Segar,2
2.6,41.15,Segar,1
1.89,22.22,Segar,2
3.21,26.17,Segar,2
2.42,54.55,Segar,1
4.6,40.43,Segar,1
2.02,28.71,Segar,2
2.52,42.86,Segar,1
2.65,38.87,Segar,1
2.44,39.75,Segar,1
2.84,32.39,Segar,1
4.25,27.53,Segar,1
2.17,35.02,Segar,1
2.18,25.23,Segar,2
2.18,49.54,Segar,1
3.23,28.17,Segar,2
0.98,48.98,Segar,2
2.12,30.66,Segar,2
2.96,28.04,Segar,1
1.92,21.35,Segar,2
2.43,37.45,Segar,1
3.99,22.81,Segar,2
2.89,46.37,Segar,1
3.64,36.26,Segar,1
2.47,24.7,Segar,1
2.22,32.43,Segar,2
3.16,46.2,Segar,1
2.42,54.55,Segar,1
2.94,35.37,Segar,1
2.51,24.3,Segar,2
2.42,54.55,Segar,1
4.22,35.07,Segar,1
2.19,34.25,Segar,1
0.82,39.02,Segar,2
2.25,36.0,Segar,2
3.72,17.2,Segar,2
2.3,19.13,Segar,2
2.52,42.86,Segar,1
4.65,33.76,Segar,1
2.43,38.27,Segar,1
2.6,41.15,Segar,1
1.98,25.76,Segar,2
2.25,25.78,Segar,2
1.97,22.34,Segar,2
1.85,40.54,Segar,2
4.25,27.53,Segar,1
1.63,32.52,Segar,2
1.63,32.52,Segar,2
2.43,37.45,Segar,1
2.19,34.25,Segar,1
3.72,17.2,Segar,2
2.55,42.35,Segar,1
3.4,39.12,Segar,1
1.94,21.65,Segar,2
2.47,24.7,Segar,1
2.52,42.86,Segar,1
2.6,41.15,Segar,1
2.37,23.63,Segar,2
1.94,21.65,Segar,2
3.5,21.71,Segar,2
2.18,25.23,Segar,2
2.22,32.43,Segar,2
2.21,33.48,Segar,1
2.55,42.35,Segar,1
2.37,32.07,Segar,2
2.66,36.09,Segar,1
2.21,33.48,Segar,1
2.19,34.25,Segar,1
2.19,30.14,Segar,2
2.21,33.48,Segar,1
0.98,48.98,Segar,2
1.96,43.88,Segar,2
2.24,32.59,Segar,1
1.55,56.13,Segar,1
2.32,28.02,Segar,1
2.66,36.09,Segar,2
3.03,31.68,Segar,2
2.17,25.81,Segar,2
2.3,19.13,Segar,2
2.45,21.63,Segar,2
2.6,41.15,Segar,1
1.89,22.22,Segar,2
2.56,43.75,Segar,1
2.89,41.18,Segar,1
2.78,46.04,Segar,1
2.21,33.48,Segar,1
2.56,43.75,Segar,1
2.75,34.18,Segar,1
1.09,37.61,Segar,2
2.24,31.7,Segar,2
2.15,28.84,Segar,2
2.49,38.55,Segar,1
2.43,33.33,Segar,1
2.89,46.37,Segar,1
1.74,36.78,Segar,2
2.52,42.86,Segar,1
2.36,18.64,Segar,2
3.64,36.26,Segar,1
2.19,30.14,Segar,2
4.25,27.53,Segar,1
2.58,17.44,Segar,2
2.45,33.47,Segar,1
3.0,43.33,Segar,1
2.24,31.7,Segar,2
2.04,25.49,Segar,2
3.23,28.17,Segar,2
4.22,35.07,Segar,1
2.28,48.25,Segar,1
1.92,26.56,Segar,2
2.43,38.27,Segar,1
4.6,40.43,Segar,1
2.48,31.45,Segar,1
2.81,42.7,Segar,1
2.75,34.18,Segar,1
2.89,46.37,Segar,1
1.97,22.34,Segar,2
4.22,35.07,Segar,1
2.89,46.37,Segar,1
2.39,22.18,Segar,2
2.25,25.78,Segar,2
2.38,40.76,Segar,1
2.38,40.76,Segar,1
2.86,46.5,Segar,1
2.42,54.55,Segar,1
2.18,25.23,Segar,2
1.92,26.56,Segar,2
2.6,41.15,Segar,1
2.63,41.83,Segar,1
2.55,42.35,Segar,1
3.16,46.2,Segar,1
4.65,33.76,Segar,1
2.38,40.76,Segar,1
1.05,52.38,Segar,2
4.12,25.24,Segar,2
1.55,56.13,Segar,1
2.71,29.89,Segar,2
2.42,36.78,Segar,1
2.84,32.39,Segar,1
3.51,32.48,Segar,1
1.81,34.81,Segar,2
2.14,29.44,Segar,1
2.49,25.3,Segar,2
1.25,60.0,Segar,1
2.19,30.14,Segar,2
2.38,40.76,Segar,1
2.78,46.04,Segar,1
2.18,25.23,Segar,2
3.5,21.71,Segar,2
4.4,37.73,Segar,1
2.51,24.3,Segar,2
3.0,21.0,Segar,2
1.62,27.16,Segar,2
1.09,37.61,Segar,2
2.41,21.16,Segar,2
2.63,41.83,Segar,1
3.99,22.81,Segar,2
1.55,56.13,Segar,1
2.42,54.55,Segar,1
3.0,43.33,Segar,1
2.02,28.71,Segar,2
2.25,25.78,Segar,2
1.63,32.52,Segar,2
0.98,48.98,Segar,2
2.17,25.81,Segar,2
2.89,46.37,Segar,1
3.5,21.71,Segar,2
4.51,31.71,Segar,1
3.15,34.29,Segar,1
2.6,41.15,Segar,1
0.98,48.98,Segar,2
2.58,17.44,Segar,2
2.47,24.7,Segar,1
2.04,24.02,Segar,2
2.89,46.37,Segar,1
1.09,37.61,Segar,2
2.06,26.7,Segar,2
3.31,28.4,Segar,1
1.78,15.17,Segar,2
2.41,21.16,Segar,2
1.26,46.03,Segar,2
2.89,46.37,Segar,1
2.77,23.1,Segar,2
2.24,31.7,Segar,2
2.21,33.48,Segar,1
1.89,22.22,Segar,2
2.36,18.64,Segar,2
2.11,28.91,Segar,2
4.6,40.43,Segar,1
2.55,42.35,Segar,1
2.81,42.7,Segar,1
2.81,42.7,Segar,1
2.84,32.39,Segar,1
2.43,33.33,Segar,1
2.71,29.89,Segar,2
2.41,21.16,Segar,2
2.37,23.63,Segar,2
2.28,51.75,Segar,1
2.25,36.0,Segar,2
2.46,26.42,Segar,2
2.42,36.78,Segar,1
4.6,40.43,Segar,1
1.98,25.76,Segar,2
2.17,25.81,Segar,2
2.05,25.37,Segar,2
2.12,30.66,Segar,2
3.86,20.21,Segar,2
2.42,54.55,Segar,1
2.58,17.44,Segar,2
3.15,34.29,Segar,1
2.58,17.44,Segar,2
2.46,26.42,Segar,2
2.25,25.78,Segar,2
2.75,34.18,Segar,1
2.53,35.97,Segar,1
2.19,34.25,Segar,1
3.07,37.46,Segar,1
4.25,27.53,Segar,1
2.19,30.14,Segar,2
3.31,28.4,Segar,1
2.06,26.7,Segar,2
2.17,25.81,Segar,2
3.5,21.71,Segar,2
2.87,25.78,Segar,2
2.55,42.35,Segar,1
3.1,23.55,Segar,2
1.09,37.61,Segar,2
4.65,33.76,Segar,1
2.77,23.1,Segar,2
2.46,26.42,Segar,2
2.3,19.13,Segar,2
2.52,42.86,Segar,1
2.52,42.86,Segar,1
1.99,24.12,Segar,2
2.58,17.44,Segar,2
2.49,38.55,Segar,1
2.24,31.7,Segar,2
1.81,34.81,Segar,2
2.31,26.41,Segar,2
3.21,26.17,Segar,2
1.96,43.88,Segar,2
2.55,42.35,Segar,1
2.96,28.04,Segar,1
2.36,30.93,Segar,1
2.37,32.07,Segar,2
4.6,40.43,Segar,1
2.39,35.15,Segar,2
2.75,34.18,Segar,1
3.86,20.21,Segar,2
2.19,30.14,Segar,2
2.06,46.6,Segar,1
2.55,42.35,Segar,1
2.56,43.75,Segar,1
3.5,21.71,Segar,2
3.4,39.12,Segar,1
2.24,31.7,Segar,2
0.98,48.98,Segar,2
2.67,20.22,Segar,2
2.55,42.35,Segar,1
4.65,33.76,Segar,1
2.86,46.5,Segar,1
2.3,19.13,Segar,2
2.45,34.29,Segar,1
2.45,33.47,Segar,1
2.45,34.29,Segar,1
2.86,46.5,Segar,1
1.05,52.38,Segar,2
2.52,42.86,Segar,1
2.55,42.35,Segar,1
2.89,46.37,Segar,1
1.74,36.78,Segar,2
2.17,25.81,Segar,2
3.78,38.62,Segar,1
2.06,26.7,Segar,2
2.89,46.37,Segar,1
2.08,22.6,Segar,2
2.28,48.25,Segar,1
2.22,32.43,Segar,2
4.12,25.24,Segar,2
2.18,49.54,Segar,1
2.24,31.7,Segar,2
2.19,34.25,Segar,1
3.51,32.48,Segar,1
3.23,28.17,Segar,2
3.28,35.06,Segar,1
2.87,25.78,Segar,2
2.43,33.33,Segar,1
2.39,35.15,Segar,2
2.46,26.42,Segar,2
1.96,43.88,Segar,2
2.83,32.86,Segar,1
2.32,28.02,Segar,1
2.46,26.42,Segar,2
2.23,31.84,Segar,2
2.06,26.7,Segar,2
2.89,46.37,Segar,1
1.89,22.22,Segar,2
4.25,27.53,Segar,1
3.0,43.33,Segar,1
2.38,39.5,Segar,1
2.38,40.76,Segar,1
2.55,42.35,Segar,1
2.71,29.89,Segar,2
2.58,17.44,Segar,2
3.51,32.48,Segar,1
2.19,30.14,Segar,2
1.85,18.38,Segar,2
3.86,20.21,Segar,2
2.24,32.59,Segar,1
2.21,33.48,Segar,1
2.18,30.73,Segar,1
2.21,33.48,Segar,1
3.86,20.21,Segar,2
3.86,20.21,Segar,2
2.08,22.6,Segar,2
4.65,33.76,Segar,1
2.51,24.3,Segar,2
2.09,32.54,Segar,1
2.55,42.35,Segar,1
1.13,55.75,Segar,1
1.89,22.22,Segar,2
1.94,21.65,Segar,2
2.77,23.1,Segar,2
2.19,30.14,Segar,2
2.22,32.43,Segar,2
2.22,32.43,Segar,2
2.19,30.14,Segar,2
2.43,37.45,Segar,1
2.21,33.48,Segar,1
2.19,30.14,Segar,2
1.94,21.65,Segar,2
2.42,54.55,Segar,1
2.28,51.75,Segar,1
1.63,32.52,Segar,2
2.75,34.18,Segar,1
2.19,30.14,Segar,2
2.43,33.33,Segar,1
3.51,32.48,Segar,1
2.21,33.48,Segar,1
2.21,33.48,Segar,1
2.55,42.35,Segar,1
3.15,34.29,Segar,1
3.23,28.17,Segar,2
1.89,22.22,Segar,2
2.45,33.47,Segar,1
2.45,34.29,Segar,1
3.4,39.12,Segar,1
3.03,31.68,Segar,2
2.83,32.86,Segar,1
1.22,59.02,Segar,1
2.11,28.91,Segar,2
2.28,51.75,Segar,1
2.25,36.0,Segar,2
2.19,30.14,Segar,2
3.4,39.12,Segar,1
2.89,46.37,Segar,1
1.25,60.0,Segar,1
2.42,36.78,Segar,1
1.25,60.0,Segar,1
2.53,35.57,Segar,1
2.86,46.5,Segar,1
3.99,22.81,Segar,2
2.38,40.76,Segar,1
2.46,26.42,Segar,2
2.37,23.63,Segar,2
1.63,32.52,Segar,2
2.89,41.18,Segar,1
2.83,32.86,Segar,1
4.6,40.43,Segar,1
1.98,25.76,Segar,2
2.45,34.29,Segar,1
3.23,28.17,Segar,2
2.36,30.93,Segar,1
2.05,25.37,Segar,2
1.94,21.65,Segar,2
2.44,39.75,Segar,1
2.42,54.55,Segar,1
1.74,36.78,Segar,2
2.89,46.37,Segar,1
2.14,29.44,Segar,1
2.43,38.27,Segar,1
3.23,28.17,Segar,2
4.65,33.76,Segar,1
2.81,42.7,Segar,1
3.31,28.4,Segar,1
2.67,20.22,Segar,2
2.22,32.43,Segar,2
1.89,22.22,Segar,2
2.15,27.91,Segar,2
2.67,20.22,Segar,2
3.03,31.68,Segar,2
2.86,46.5,Segar,1
1.13,55.75,Segar,1
3.03,31.68,Segar,2
2.66,36.09,Segar,1
2.75,34.18,Segar,1
2.77,23.1,Segar,2
2.46,26.42,Segar,2
2.42,36.78,Segar,1
3.21,26.17,Segar,2
2.66,36.09,Segar,1
2.22,32.43,Segar,2
2.17,25.81,Segar,2
2.17,25.81,Segar,2
3.03,31.68,Segar,2
0.98,48.98,Segar,2
2.18,49.54,Segar,1
0.98,48.98,Segar,2
2.44,39.75,Segar,1
4.12,25.24,Segar,2
2.42,36.78,Segar,1
2.48,31.45,Segar,1
2.36,18.64,Segar,2
4.22,35.07,Segar,1
2.19,34.25,Segar,1
2.18,49.54,Segar,1
2.6,41.15,Segar,1
2.08,22.6,Segar,2
4.22,35.07,Segar,1
2.6,35.77,Segar,1
1.63,32.52,Segar,2
1.97,22.34,Segar,2
1.92,26.56,Segar,2
2.19,30.14,Segar,2
2.33,35.19,Segar,1
0.98,48.98,Segar,2
3.21,26.17,Segar,2
2.66,42.86,Segar,1
2.96,28.04,Segar,1
2.15,28.84,Segar,2
3.31,28.4,Segar,1
2.04,24.02,Segar,2
2.32,28.02,Segar,1
2.51,24.3,Segar,2
4.65,33.76,Segar,1
1.89,22.22,Segar,2
1.97,22.34,Segar,2
2.06,26.7,Segar,2
3.4,39.12,Segar,1
2.21,33.48,Segar,1
1.13,55.75,Segar,1
3.23,28.17,Segar,2
2.89,46.37,Segar,1
2.24,31.7,Segar,2
2.52,42.86,Segar,1
2.18,49.54,Segar,1
2.89,41.18,Segar,1
2.52,42.86,Segar,1
3.23,28.17,Segar,2
2.6,35.77,Segar,1
2.89,46.37,Segar,1
2.02,28.71,Segar,2
2.81,42.7,Segar,1
2.89,41.18,Segar,1
2.22,32.43,Segar,2
2.18,49.54,Segar,1
4.22,35.07,Segar,1
2.25,36.0,Segar,2
2.43,38.27,Segar,1
1.89,22.22,Segar,2
3.28,35.06,Segar,1
1.94,21.65,Segar,2
2.01,25.37,Segar,2
2.46,26.42,Segar,2
3.86,20.21,Segar,2
2.24,31.7,Segar,2
3.23,28.17,Segar,2
1.89,22.22,Segar,2
3.4,39.12,Segar,1
4.25,27.53,Segar,1
1.99,24.12,Segar,2
2.66,43.61,Segar,1
2.81,42.7,Segar,1
2.3,19.13,Segar,2
3.15,34.29,Segar,1
3.0,43.33,Segar,1
2.39,35.15,Segar,2
3.03,31.68,Segar,2
3.21,26.17,Segar,2
2.81,42.7,Segar,1
2.67,46.07,Segar,1
2.22,32.43,Segar,2
3.28,35.06,Segar,1
4.22,35.07,Segar,1
4.6,40.43,Segar,1
2.6,41.15,Segar,1
2.89,41.18,Segar,1
2.43,37.45,Segar,1
1.89,22.22,Segar,2
2.06,46.6,Segar,1
3.31,28.4,Segar,1
4.6,40.43,Segar,1
4.22,35.07,Segar,1
3.64,36.26,Segar,1
3.84,28.65,Segar,2
3.15,34.29,Segar,1
2.22,32.43,Segar,2
2.55,42.35,Segar,1
2.78,46.04,Segar,1
3.03,31.68,Segar,2
0.98,48.98,Segar,2
2.17,35.02,Segar,1
3.86,20.21,Segar,2
3.51,32.48,Segar,1
2.25,36.0,Segar,2
3.5,21.71,Segar,2
3.15,34.29,Segar,1
2.48,31.45,Segar,1
2.24,31.7,Segar,2
0.82,39.02,Segar,2
1.26,46.03,Segar,2
0.82,39.02,Segar,2
1.98,25.76,Segar,2
3.03,31.68,Segar,2
1.89,22.22,Segar,2
2.66,36.09,Segar,1
1.09,37.61,Segar,2
2.89,41.18,Segar,1
2.04,24.02,Segar,2
2.24,32.59,Segar,1
1.81,34.81,Segar,2
2.63,41.83,Segar,1
2.31,26.41,Segar,2
3.16,46.2,Segar,1
2.48,31.45,Segar,1
2.19,34.25,Segar,1
2.19,30.14,Segar,2
2.28,51.75,Segar,1
1.89,22.22,Segar,2
2.22,32.43,Segar,2
3.31,28.4,Segar,1
2.46,26.42,Segar,2
2.66,22.18,Segar,2
2.77,23.1,Segar,2
2.11,28.91,Segar,2
2.84,36.27,Segar,1
3.23,28.17,Segar,2
3.72,17.2,Segar,2
3.0,43.33,Segar,1
